Reason_1,Reason_2,Reason_3,Reason_4,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Month Value,Day of the Week,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,0,2016-05-18,330,16,28,378.884,5,2,25,1,0,0,0
0,0,0,0,2016-05-25,378,49,36,378.884,5,2,21,0,2,4,0
0,0,0,0,2016-05-25,388,15,50,378.884,5,2,24,0,0,0,0
1,0,0,0,2016-05-24,179,51,38,378.884,5,1,31,0,0,0,1
1,0,0,0,2016-05-11,118,13,50,378.884,5,2,31,0,1,0,24
0,0,1,0,2016-05-27,361,52,28,378.884,5,4,27,0,1,4,8
0,0,1,0,2016-06-06,246,25,41,377.55,6,0,23,0,0,0,8
0,0,1,0,2016-06-13,361,52,28,377.55,6,0,27,0,1,4,8
1,0,0,0,2016-06-14,246,25,41,377.55,6,1,23,0,0,0,24
0,0,0,1,2016-06-16,291,31,40,377.55,6,3,25,0,1,1,4
1,0,0,0,2016-06-17,246,25,41,377.55,6,4,23,0,0,0,8
1,0,0,0,2016-06-13,179,51,38,377.55,6,0,31,0,0,0,8
0,0,0,1,2016-06-20,155,12,34,377.55,6,0,25,0,2,0,4
1,0,0,0,2016-06-27,246,25,41,377.55,6,0,23,0,0,0,8
1,0,0,0,2016-06-29,118,13,50,377.55,6,2,31,0,1,0,8
1,0,0,0,2016-06-03,235,11,37,377.55,6,4,29,1,1,1,16
0,0,0,1,2016-06-07,118,13,50,377.55,6,1,31,0,1,0,1
1,0,0,0,2016-06-08,118,13,50,377.55,6,2,31,0,1,0,80
0,0,1,0,2016-06-09,378,49,36,377.55,6,3,21,0,2,4,8
1,0,0,0,2016-06-10,179,51,38,377.55,6,4,31,0,0,0,2
0,0,0,1,2016-06-20,289,48,49,377.55,6,0,36,0,0,2,2
0,0,0,1,2016-06-30,225,26,28,377.55,6,3,24,0,1,2,2
0,0,1,0,2016-07-05,155,12,34,275.312,7,1,25,0,2,0,16
1,0,0,0,2016-07-06,118,13,50,275.312,7,2,31,0,1,0,8
1,0,0,0,2016-07-08,118,10,37,275.312,7,4,28,0,0,0,8
0,0,0,1,2016-07-08,118,10,37,275.312,7,4,28,0,0,0,4
0,0,0,1,2016-07-12,330,16,28,275.312,7,1,25,1,0,0,8
0,0,1,0,2016-07-14,179,26,30,275.312,7,3,19,1,0,0,8
0,0,0,1,2016-07-15,155,12,34,275.312,7,4,25,0,2,0,2
1,0,0,0,2016-07-18,330,16,28,275.312,7,0,25,1,0,0,8
1,0,0,0,2016-07-19,330,16,28,275.312,7,1,25,1,0,0,8
0,0,0,1,2016-07-18,157,27,29,275.312,7,0,22,0,0,0,3
0,0,1,0,2016-07-19,361,52,28,275.312,7,1,27,0,1,4,8
0,0,0,1,2016-07-20,289,36,33,275.312,7,2,30,0,2,1,8
0,0,0,1,2016-07-21,179,51,38,275.312,7,3,31,0,0,0,8
0,0,1,0,2016-07-11,289,36,33,275.312,7,0,30,0,2,1,32
0,0,1,0,2016-07-14,289,36,33,275.312,7,3,30,0,2,1,8
0,0,0,0,2016-07-21,260,50,36,275.312,7,3,23,0,4,0,0
0,0,1,0,2016-08-04,289,36,33,265.615,8,3,30,0,2,1,8
0,0,1,0,2016-08-11,157,27,29,265.615,8,3,22,0,0,0,3
0,0,0,1,2016-08-07,289,36,33,265.615,8,6,30,0,2,1,1
0,0,1,0,2016-08-08,228,14,58,265.615,8,0,22,0,2,1,8
1,0,0,0,2016-08-10,300,26,43,265.615,8,2,25,0,2,1,1
1,0,0,0,2016-08-10,300,26,43,265.615,8,2,25,0,2,1,2
0,0,0,1,2016-08-11,260,50,36,265.615,8,3,23,0,4,0,4
0,0,0,1,2016-08-08,289,36,33,265.615,8,0,30,0,2,1,4
0,0,0,1,2016-08-09,248,25,47,265.615,8,1,32,0,2,1,1
1,0,0,0,2016-08-10,268,11,33,265.615,8,2,25,1,0,0,8
0,0,0,1,2016-08-10,179,26,30,265.615,8,2,19,1,0,0,1
1,0,0,0,2016-08-10,118,13,50,265.615,8,2,31,0,1,0,3
0,0,0,1,2016-08-14,248,25,47,265.615,8,6,32,0,2,1,2
0,0,0,1,2016-08-15,235,11,37,265.615,8,0,29,1,1,1,1
0,0,0,1,2016-08-17,118,13,50,265.615,8,2,31,0,1,0,1
0,0,1,0,2016-08-24,235,11,37,265.615,8,2,29,1,1,1,8
1,0,0,0,2016-08-08,361,52,28,265.615,8,0,27,0,1,4,8
1,0,0,0,2016-08-30,184,42,27,265.615,8,1,21,0,0,0,8
1,0,0,0,2016-09-05,179,51,38,294.217,9,0,31,0,0,0,8
0,0,0,1,2016-09-09,179,51,38,294.217,9,4,31,0,0,0,3
0,0,1,0,2016-09-07,289,36,33,294.217,9,2,30,0,2,1,24
0,0,0,0,2016-09-08,235,20,43,294.217,9,3,38,0,1,0,0
1,0,0,0,2016-09-12,246,25,41,294.217,9,0,23,0,0,0,16
0,0,0,1,2016-09-13,291,31,40,294.217,9,1,25,0,1,1,3
0,0,0,0,2016-09-13,231,35,39,294.217,9,1,35,0,2,2,0
0,0,0,0,2016-09-13,291,50,32,294.217,9,1,23,0,0,0,0
1,0,0,0,2016-09-14,179,51,38,294.217,9,2,31,0,0,0,8
1,0,0,0,2016-09-14,246,25,41,294.217,9,2,23,0,0,0,32
0,0,0,1,2016-09-15,179,51,38,294.217,9,3,31,0,0,0,1
0,0,0,1,2016-09-16,291,31,40,294.217,9,4,25,0,1,1,4
0,0,0,1,2016-09-16,260,50,36,294.217,9,4,23,0,4,0,4
0,0,0,1,2016-09-14,235,20,43,294.217,9,2,38,0,1,0,8
0,0,0,1,2016-09-15,118,13,50,294.217,9,3,31,0,1,0,1
0,0,0,0,2016-09-15,235,20,43,294.217,9,3,38,0,1,0,0
0,0,0,1,2016-09-16,291,31,40,294.217,9,4,25,0,1,1,3
1,0,0,0,2016-09-26,291,31,40,294.217,9,0,25,0,1,1,40
1,0,0,0,2016-09-26,179,51,38,294.217,9,0,31,0,0,0,8
0,0,0,1,2016-10-05,289,36,33,265.017,10,2,30,0,2,1,8
0,0,0,1,2016-10-05,235,11,37,265.017,10,2,29,1,1,1,4
0,0,0,1,2016-10-05,289,36,33,265.017,10,2,30,0,2,1,8
0,0,1,0,2016-10-06,289,36,33,265.017,10,3,30,0,2,1,8
0,0,0,0,2016-10-06,118,13,50,265.017,10,3,31,0,1,0,0
0,0,0,0,2016-10-06,248,25,47,265.017,10,3,32,0,2,1,0
1,0,0,0,2016-10-12,179,26,30,265.017,10,2,19,1,0,0,8
1,0,0,0,2016-10-12,118,10,37,265.017,10,2,28,0,0,0,3
0,0,1,0,2016-10-12,369,17,31,265.017,10,2,25,0,3,0,8
0,0,0,1,2016-10-14,179,51,38,265.017,10,4,31,0,0,0,1
1,0,0,0,2016-10-14,179,26,30,265.017,10,4,19,1,0,0,64
0,0,0,0,2016-10-14,235,20,43,265.017,10,4,38,0,1,0,0
0,0,1,0,2016-10-15,289,36,33,265.017,10,5,30,0,2,1,16
0,0,0,1,2016-10-16,260,50,36,265.017,10,6,23,0,4,0,3
0,0,0,0,2016-10-16,235,20,43,265.017,10,6,38,0,1,0,0
0,0,0,1,2016-10-19,235,20,43,265.017,10,2,38,0,1,0,2
0,0,0,1,2016-10-19,235,20,43,265.017,10,2,38,0,1,0,2
0,0,0,1,2016-10-20,118,13,50,265.017,10,3,31,0,1,0,1
0,0,0,1,2016-10-20,291,31,40,265.017,10,3,25,0,1,1,4
0,0,0,1,2016-10-22,179,26,30,265.017,10,5,19,1,0,0,16
0,0,0,1,2016-10-22,118,13,50,265.017,10,5,31,0,1,0,1
1,0,0,0,2016-10-26,361,52,28,265.017,10,2,27,0,1,4,8
0,0,0,0,2016-10-27,260,50,36,265.017,10,3,23,0,4,0,0
0,0,0,0,2016-10-27,291,31,40,265.017,10,3,25,0,1,1,0
0,0,0,0,2016-10-27,157,27,29,265.017,10,3,22,0,0,0,0
1,0,0,0,2016-10-28,179,26,30,265.017,10,4,19,1,0,0,5
1,0,0,0,2016-10-28,179,26,30,265.017,10,4,19,1,0,0,5
0,0,0,1,2016-10-29,118,13,50,265.017,10,5,31,0,1,0,1
1,0,0,0,2016-11-07,118,10,37,284.031,11,0,28,0,0,0,8
0,0,0,1,2016-11-07,248,25,47,284.031,11,0,32,0,2,1,2
1,0,0,0,2016-11-08,179,51,38,284.031,11,1,31,0,0,0,8
0,0,0,1,2016-11-11,260,50,36,284.031,11,4,23,0,4,0,3
0,0,0,1,2016-11-14,291,31,40,284.031,11,0,25,0,1,1,1
1,0,0,0,2016-11-14,378,49,36,284.031,11,0,21,0,2,4,8
1,0,0,0,2016-11-14,155,12,34,284.031,11,0,25,0,2,0,120
0,0,0,1,2016-11-14,235,20,43,284.031,11,0,38,0,1,0,8
0,0,0,0,2016-11-15,330,16,28,284.031,11,1,25,1,0,0,0
0,0,1,0,2016-11-16,235,11,37,284.031,11,2,29,1,1,1,1
1,0,0,0,2016-11-16,118,10,37,284.031,11,2,28,0,0,0,3
0,0,0,1,2016-11-17,235,11,37,284.031,11,3,29,1,1,1,2
0,0,0,1,2016-11-17,179,51,38,284.031,11,3,31,0,0,0,3
1,0,0,0,2016-11-18,246,25,41,284.031,11,4,23,0,0,0,8
1,0,0,0,2016-11-18,291,31,40,284.031,11,4,25,0,1,1,4
1,0,0,0,2016-11-21,246,25,41,284.031,11,0,23,0,0,0,8
0,0,0,1,2016-11-22,179,51,38,284.031,11,1,31,0,0,0,1
1,0,0,0,2016-11-23,260,50,36,284.031,11,2,23,0,4,0,8
0,1,0,0,2016-11-25,260,50,36,284.031,11,4,23,0,4,0,8
0,0,0,0,2016-11-25,378,49,36,284.031,11,4,21,0,2,4,0
0,0,0,0,2016-11-29,279,5,39,284.031,11,1,24,0,2,0,0
0,0,0,1,2016-11-24,179,51,38,284.031,11,3,31,0,0,0,1
1,0,0,0,2016-12-05,225,26,28,236.62900000000002,12,0,24,0,1,2,3
0,0,0,1,2016-12-05,179,51,38,236.62900000000002,12,0,31,0,0,0,2
0,0,0,1,2016-12-05,179,51,38,236.62900000000002,12,0,31,0,0,0,1
0,0,0,1,2016-12-05,235,11,37,236.62900000000002,12,0,29,1,1,1,3
0,0,0,1,2016-12-06,118,13,50,236.62900000000002,12,1,31,0,1,0,1
0,0,0,1,2016-12-09,260,50,36,236.62900000000002,12,4,23,0,4,0,4
1,0,0,0,2016-12-15,246,25,41,236.62900000000002,12,3,23,0,0,0,8
0,0,0,1,2016-12-15,179,51,38,236.62900000000002,12,3,31,0,0,0,1
0,0,0,1,2016-12-16,179,51,38,236.62900000000002,12,4,31,0,0,0,1
0,0,0,1,2016-12-20,179,26,30,236.62900000000002,12,1,19,1,0,0,1
